clamp,frequence,V1,E1,I1,cos_ui,R1,I2,I2*5
1,440,0.46,0.279,0.595,0.915,0.356,0.000,0
1,440,0.457,0.266,0.612,0.933,0.356,0.0739,0.3695
1,440,0.454,0.252,0.63,0.945,0.356,0.14,0.7
1,440,0.449,0.232,0.659,0.962,0.356,0.25,1.25
1,440,0.44,0.202,0.713,0.913,0.356,0.389,1.945
1,440,0.397,0.066,0.978,0.993,0.356,1.12,5.6
1,440,0.936,0.603,1.1,0.909,0.356,0.000,0
1,440,0.927,0.568,1.14,0.93,0.356,0.159,0.795
1,440,0.921,0.54,1.18,0.946,0.356,0.3,1.5
1,440,0.907,0.49,1.26,0.964,0.356,0.531,2.655
1,440,0.886,0.423,1.38,0.972,0.356,0.814,4.07
1,440,0.791,0.126,1.96,0.993,0.356,2.3,11.5
1,440,1.42,0.945,1.56,0.904,0.356,0.000,0
1,440,1.4,0.888,1.63,0.928,0.356,0.248,1.24
1,440,1.39,0.839,1.7,0.945,0.356,0.468,2.34
1,440,1.37,0.76,1.83,0.964,0.356,0.832,4.16
1,440,1.34,0.66,2.03,0.97,0.356,1.27,6.35
1,440,1.28,0.381,2.92,0.96,0.356,3.5,17.5
1,440,1.9,1.29,2.01,0.899,0.356,0.000,0
1,440,1.87,1.21,2.12,0.924,0.356,0.313,1.565
1,440,1.86,1.16,2.21,0.943,0.356,0.637,3.185
1,440,1.85,1.05,2.38,0.961,0.356,1.11,5.55
1,440,1.81,0.931,2.67,0.964,0.356,1.73,8.65
1,440,1.68,0.55,3.71,0.95,0.356,4.65,23.25
1,560,0.462,0.291,0.56,0.935,0.356,0.000,0
1,560,0.459,0.276,0.58,0.931,0.356,0.0753,0.3765
1,560,0.456,0.263,0.6,0.945,0.356,0.144,0.72
1,560,0.45,0.24,0.669,0.961,0.356,0.255,1.275
1,560,0.439,0.211,0.694,0.965,0.356,0.391,1.955
1,560,0.394,0.078,0.96,0.988,0.356,1.1,5.5
1,560,0.939,0.621,1.04,0.911,0.356,0.000,0
1,560,0.929,0.585,1.07,0.933,0.356,0.162,0.81
1,560,0.922,0.553,1.13,0.946,0.356,0.305,1.525
1,560,0.908,0.502,1.22,0.964,0.356,0.535,2.675
1,560,0.885,0.438,1.35,0.967,0.356,0.823,4.115
1,560,0.894,0.153,1.28,0.988,0.356,2.25,11.25
1,560,1.47,0.972,1.47,0.907,0.356,0.000,0
1,560,1.4,0.909,1.55,0.931,0.356,0.252,1.26
1,560,1.39,0.86,1.63,0.881,0.356,0.474,2.37
1,560,1.37,0.775,1.77,0.965,0.356,0.831,4.155
1,560,1.33,0.67,1.98,0.97,0.356,1.27,6.35
1,560,1.22,0.35,2.89,0.96,0.356,3.44,17.2
1,560,1.9,1.33,1.88,0.903,0.356,0.000,0
1,560,1.88,1.25,2.000,0.929,0.356,0.342,1.71
1,560,1.86,1.18,2.11,0.945,0.356,0.647,3.235
1,560,1.83,1.06,2.31,0.964,0.356,1.14,5.7
1,560,1.78,0.94,2.6,0.962,0.356,1.73,8.65
1,560,1.65,0.6,3.7,0.943,0.356,4.63,23.15
1,640,0.463,0.298,0.545,0.92,0.356,0.000,0
1,640,0.46,0.28,0.56,0.935,0.356,0.076,0.38
1,640,0.455,0.265,0.586,0.943,0.356,0.145,0.725
1,640,0.449,0.245,0.616,0.96,0.356,0.257,1.285
1,640,0.44,0.214,0.685,0.962,0.356,0.39,1.95
1,640,0.394,0.087,0.95,0.984,0.356,1.07,5.35
1,640,0.941,0.63,1.01,0.911,0.356,0.000,0
1,640,0.931,0.595,1.06,0.933,0.356,0.162,0.81
1,640,0.924,0.563,1.11,0.946,0.356,0.307,1.535
1,640,0.91,0.51,1.19,0.964,0.356,0.537,2.685
1,640,0.883,0.445,1.33,0.964,0.356,0.807,4.035
1,640,0.788,0.17,1.89,0.985,0.356,2.21,11.05
1,640,1.42,0.984,1.77,0.908,0.356,0.000,0
1,640,1.41,0.925,1.52,0.932,0.356,0.253,1.265
1,640,1.39,0.87,1.6,0.948,0.356,0.476,2.38
1,640,1.37,0.785,1.74,0.965,0.356,0.831,4.155
1,640,1.33,0.684,1.96,0.964,0.356,1.26,6.3
1,640,1.21,0.35,2.85,0.964,0.356,3.37,16.85
1,640,1.91,1.34,1.83,0.905,0.356,0.000,0
1,640,1.89,1.26,1.96,0.93,0.356,0.344,1.72
1,640,1.87,1.2,2.07,0.947,0.356,0.649,3.245
1,640,1.84,1.07,2.27,0.964,0.356,1.14,5.7
1,640,1.8,0.95,2.57,0.96,0.356,1.72,8.6
1,640,1.62,0.6,3.67,0.952,0.356,4.54,22.7
1,740,0.463,0.302,0.525,0.912,0.356,0.000,0
1,740,0.459,0.286,0.549,0.93,0.356,0.0767,0.3835
1,740,0.456,0.272,0.571,0.943,0.356,0.146,0.73
1,740,0.449,0.248,0.61,0.959,0.356,0.259,1.295
1,740,0.437,0.22,0.671,0.957,0.356,0.387,1.935
1,740,0.392,0.094,0.934,0.979,0.356,1.06,5.3
1,740,0.94,0.639,1.17,0.912,0.356,0.000,0
1,740,0.931,0.6,1.02,0.931,0.356,0.165,0.825
1,740,0.923,0.57,1.08,0.944,0.356,0.309,1.545
1,740,0.91,0.515,1.17,0.96,0.356,0.543,2.715
1,740,0.88,0.45,1.31,0.96,0.356,0.8,4
1,740,0.782,0.188,1.87,0.979,0.356,2.17,10.85
1,740,1.42,0.996,1.38,0.909,0.356,0.000,0
1,740,1.4,0.933,1.47,0.933,0.356,0.256,1.28
1,740,1.39,0.88,1.56,0.948,0.356,0.48,2.4
1,740,1.37,0.793,1.71,0.964,0.356,0.835,4.175
1,740,1.32,0.693,1.92,0.959,0.356,1.24,6.2
